word,kana,desc,tags
現像,げんぞう,developing (film),JLPT_1
原則,げんそく,"principle, general rule",JLPT_1
見地,けんち,point of view,JLPT_1
現地,げんち,"actual place, local",JLPT_1
限定,げんてい,"limit, restriction",JLPT_1
原点,げんてん,"origin (coordinates, starting point)",JLPT_1
原典,げんてん,"original, source",JLPT_1
原爆,げんばく,atomic bomb,JLPT_1
原文,げんぶん,"the text, original",JLPT_1
厳密,げんみつ,"strict, close",JLPT_1
賢明,けんめい,"wisdom, intelligence, prudence",JLPT_1
倹約,けんやく,"thrift, economy, frugality",JLPT_1
原油,げんゆ,crude oil,JLPT_1
兼用,けんよう,"multi-use, combined use",JLPT_1
権力,けんりょく,"(political) power, authority, influence",JLPT_1
言論,げんろん,"discussion, speech",JLPT_1
故～,こ～,"deceased, late",JLPT_1
語彙,ごい,"vocabulary, glossary",JLPT_1
恋する,こいする,"to fall in love with, to love",JLPT_1
甲,こう,1st in rank; shell,JLPT_1
～光,～こう,light,JLPT_1
好意,こうい,"good will, favor, courtesy",JLPT_1
行為,こうい,"act, deed, conduct",JLPT_1
合意,ごうい,"agreement, consent, mutual understanding",JLPT_1
工学,こうがく,engineering,JLPT_1
抗議,こうぎ,"protest, objection",JLPT_1
合議,ごうぎ,"consultation, conference",JLPT_1
皇居,こうきょ,Imperial Palace,JLPT_1
好況,こうきょう,"prosperous conditions, healthy economy",JLPT_1
鉱業,こうぎょう,mining industry,JLPT_1
興業,こうぎょう,starting a business; industry,JLPT_1
高原,こうげん,"tableland, plateau",JLPT_1
交互,こうご,"mutual, reciprocal, alternate",JLPT_1
煌々と,こうこうと,brightly,JLPT_1
考古学,こうこがく,archeology,JLPT_1
工作,こうさく,"handicraft, maneuvering",JLPT_1
耕作,こうさく,"cultivation, farming",JLPT_1
鉱山,こうざん,mine,JLPT_1
講習,こうしゅう,"short course, training",JLPT_1
口述,こうじゅつ,verbal statement,JLPT_1
控除,こうじょ,"subsidy, deduction",JLPT_1
交渉,こうしょう,negotiation,JLPT_1 Intermediate_Japanese_Ln.08
高尚,こうしょう,"high, noble, refined",JLPT_1
向上,こうじょう,"rise, improvement, progress",JLPT_1
行進,こうしん,"march, parade",JLPT_1
香辛料,こうしんりょう,spices,JLPT_1
降水,こうすい,"rainfall, precipitation",JLPT_1
洪水,こうずい,flood,JLPT_1
合成,ごうせい,"synthetic, mixed",JLPT_1
公然,こうぜん,openly,JLPT_1
抗争,こうそう,"dispute, resistance",JLPT_1
構想,こうそう,"plan, plot, idea, conception",JLPT_1
後退,こうたい,"retreat, backspace",JLPT_1
光沢,こうたく,"luster, glossy finish (of photographs)",JLPT_1
公団,こうだん,public corporation,JLPT_1
好調,こうちょう,"satisfactory, in good shape",JLPT_1
口頭,こうとう,oral,JLPT_1
講読,こうどく,reading,JLPT_1
購読,こうどく,subscription,JLPT_1
購入,こうにゅう,"purchase, buy",JLPT_1
公認,こうにん,"official recognition, authorization",JLPT_1
光熱費,こうねつひ,cost of fuel and light,JLPT_1
購買,こうばい,"purchase, buy",JLPT_1
好評,こうひょう,"popularity, favorable reputation",JLPT_1
交付,こうふ,"delivering, furnishing (with copies)",JLPT_1
公募,こうぼ,"public appeal, public contribution",JLPT_1
巧妙,こうみょう,"ingenious, skillful, clever",JLPT_1
公用,こうよう,"government business, public use, public expense",JLPT_1
小売,こうり,retail,JLPT_1
効率,こうりつ,efficiency,JLPT_1
公立,こうりつ,public institution,JLPT_1
護衛,ごえい,"guard, convoy, escort",JLPT_1
コーナー,コーナー,corner,JLPT_1
小柄,こがら,"small, diminutive",JLPT_1
