textId,index,content
i_2c027957a20f,101,[{李|り}‖i_2c1a13eb3f96]さんは　[{中|ちゅう}{国|ごく}{人|じん}‖i_c618f65eab9f]です。
i_a6bcd1174ee2,101,[{森|もり}‖i_20c5fd1e17de]さんは　[{学|がく}{生|せい}‖i_8b77f2e4fc71]では　ありません。
i_7ee0c256f86d,101,[{林|はやし}‖i_1140d8a76d87]さんは　[{日|に}{本|ほん}{人|じん}‖i_10269f77250a]ですか。
i_0bd205ea2a9f,101,[{李|り}‖i_2c1a13eb3f96]さんは　[{J|ジェー}{C|シー}{企|き}{画|かく}‖i_d5497070d429]の　[{社|しゃ}{員|いん}‖i_2c94eaa40c91]です。
i_80d3da42b9a0,101,{私|わたし}は　[{李|り}‖i_2c1a13eb3f96]です。[{小|お}{野|の}‖i_7f0293fcb6ec]さんですか。
i_d5147087aaec,101,[はい‖i_1e6333f009da]，[そうです‖i_33cbbdb20f90]。[{小|お}{野|の}‖i_7f0293fcb6ec]です。
i_d3208b1605b2,101,[{森|もり}‖i_20c5fd1e17de]さんは　[{学|がく}{生|せい}‖i_8b77f2e4fc71]ですか。
i_78c806e0ef37,101,[いいえ‖i_621ac75f9759]，[{学|がく}{生|せい}‖i_8b77f2e4fc71]では　ありません。[{会|かい}{社|しゃ}{員|いん}‖i_af14cad672d5]です。
i_354a3ce94de1,101,[{吉|よし}{田|だ}‖i_29b978687304]さんですか。
i_fd319ec32b55,101,[いいえ‖i_621ac75f9759]，[ちがいます‖i_0d4eb05757a0]。[{森|もり}‖i_20c5fd1e17de]です。
i_647eba4d41c7,101,[{李|り}‖i_2c1a13eb3f96]さんは　[{J|ジェー}{C|シー}{企|き}{画|かく}‖i_d5497070d429]の　[{社|しゃ}{員|いん}‖i_2c94eaa40c91]ですか。
i_677390a77528,101,[はい‖i_1e6333f009da]，[そうです‖i_33cbbdb20f90]。
i_d1cc26a9a8c9,101,[{J|ジェー}{C|シー}{企|き}{画|かく}‖i_d5497070d429]の　[{小|お}{野|の}‖i_7f0293fcb6ec]さんですか。
i_60ad50a9c3b8,101,[はい‖i_1e6333f009da]，[{小|お}{野|の}‖i_7f0293fcb6ec]です。{李|り}{秀|しゅう}{麗|れい}さんですか。
i_379755b40eb0,101,[はい‖i_1e6333f009da]，{李|り}{秀|しゅう}{麗|れい}です。はじめまして。どうぞ　{宜|よろ}しく　お{願|ねが}いします。
i_3355a04d59a5,101,[はじめまして‖i_485cb3c67e83]，{小|お}{野|の}{緑|みどり}です。
i_574ac4e47d22,101,[{李|り}‖i_2c1a13eb3f96]さん，[こんにちは‖i_5eb68c891334]。
i_6b7077a2961d,101,[{吉|よし}{田|だ}‖i_29b978687304]さんですか。
i_05c030fe3b7a,101,[いいえ‖i_621ac75f9759]，{私|わたし}は　[{吉|よし}{田|だ}‖i_29b978687304]じゃ　ありません。[{森|もり}‖i_20c5fd1e17de]です。
