textId,content
i_2c027957a20f,小李是中国人。
i_a6bcd1174ee2,森先生不是学生。
i_7ee0c256f86d,林先生是日本人吗? 
i_0bd205ea2a9f,小李是JC策划公司的职员。
i_80d3da42b9a0,我姓李。(您)是小野女士吗?
i_d5147087aaec,是的，(我)是小野。
i_d3208b1605b2,森先生是学生吗?
i_78c806e0ef37,不，不是学生。是公司职员。
i_354a3ce94de1,您是吉田先生吗?
i_fd319ec32b55,不，不是。我是森。
i_647eba4d41c7,小李是JC策划公司的职员吗?
i_677390a77528,是的。
i_d1cc26a9a8c9,(您)是JC策划公司的小野女士吗? 
i_60ad50a9c3b8,是的，我是小野。是李秀丽女士吗?
i_379755b40eb0,是的，我是李秀丽。初次见面，请多关照。
i_3355a04d59a5,初次见面。我叫小野绿。
i_574ac4e47d22,李女士，你好
i_6b7077a2961d,(您)是吉田先生吗?
i_05c030fe3b7a,不，我不是吉田。(我)是森。
i_4f492fb36ff8,啊，是森先生呀。对不起。
i_88f8a224393d,没关系。请多关照。
i_251ebe0236b2,我是李秀丽。以后请您多多关照。
i_1d17227caffd,这是书。
i_6f3f5435c85e,那是什么?
i_c767aeb95b17,那是谁的伞?
i_91d55edbb22c,这个照相机是史密斯先生的。
i_0935d724d522,这是电视机吗?
i_11e09617a984,不，那不是电视机。是计算机(个人电脑)。
i_985a05b2026e,那是什么?
i_201e5e7c4da0,这是日语书。
i_59767c08104c,森先生的包是哪个?
i_4b931eba787c,是那个。
i_e90736cd085b,那个笔记本是谁的?
i_539e827aea19,是我的。
i_45150c7a9bc0,小李，那是什么?
i_4e73db02bca4,这个吗?这是(我)家人的照片。
i_c93fc4aed74e,(指着其中一个人)这位是谁呀?
i_e928ea41d039,是我母亲。
i_fa9ee19789cf,(您)母亲多大年纪了?
i_208d393bbf67,52岁。
i_3973e185f848,小野，这个给你。
i_a28cb7119b78,嗯?这是什么?
i_591b41ed4b14,是礼物。
i_27e927d208d9,哇，是真丝手绢啊。
i_1cec1bfdc6c1,嗯。是汕头的手绢。中国有名的特产。
i_bb20f2a8e3c6,谢谢。
i_f1fb0376fb3a,这里是百货商店。
i_386c5a4e9621,食堂在百货商店的7层。
i_654d25b2b486,那里也是JC策划公司的大楼。
i_ae21299ea0c7,卖包的柜台在1层还是2层?
i_0fa1d0b32f17,厕所在哪儿?
