textId,word,kana,pos,desc,group,lesson
i_c618f65eab9f,中国人,ちゅうごくじん,名,中国人,1,101
i_10269f77250a,日本人,にほんじん,名,日本人,1,101
i_b6b58835a898,韓国人,かんこくじん,名,韩国人,1,101
i_cf55132b0e85,アメリカ人,アメリカじん,名,美国人,1,101
i_a0cc4a1ddf4d,フランス人,フランスじん,名,法国人,1,101
i_8b77f2e4fc71,学生,がくせい,名,(大)学生,1,101
i_9660bf926fde,先生,せんせい,名,老师,1,101
i_928ff481467b,留学生,りゅうがくせい,名,留学生,1,101
i_fb0acabff484,教授,きょうじゅ,名,教授,1,101
i_2c94eaa40c91,社員,しゃいん,名,职员,1,101
i_af14cad672d5,会社員,かいしゃいん,名,公司职员,1,101
i_d0d1ba21bba4,店員,てんいん,名,店员,1,101
i_52e86332094f,研修生,けんしゅうせい,名,进修生,1,101
i_0f157e7853c2,企業,きぎょう,名,企业,1,101
i_a661b08fb6fd,大学,だいがく,名,大学,1,101
i_123e38bf52b4,父,ちち,名,(我)父亲,1,101
i_ce844e64df06,課長,かちょう,名,科长,1,101
i_4325c476e194,社長,しゃちょう,名,总经理，社长,1,101
i_b34155d799ae,出迎え,でむかえ,名,迎接,1,101
i_e37cfddef4ec,あの人,あのひと,名,那个人,1,101
i_637cb75f3b12,わたし,わたし,代,我,1,101
i_7a50ce7c7ea5,あなた,あなた,代,你,1,101
i_3d2041c86390,どうも,どうも,副,非常，很,1,101
i_1e6333f009da,はい,はい,叹,哎，是(应答)；是的,1,101
i_621ac75f9759,いいえ,いいえ,叹,不，不是,1,101
i_7b950a59554c,あっ,あっ,叹,哎，哎呀,1,101
i_2c1a13eb3f96,李,り,专,李,1,101
i_dc0c0a6f54f2,王,おう,专,王,1,101
i_697474610dfb,張,ちょう,专,张,1,101
i_20c5fd1e17de,森,もり,专,森,1,101
i_1140d8a76d87,林,はやし,专,林,1,101
i_7f0293fcb6ec,小野,おの,专,小野,1,101
i_29b978687304,吉田,よしだ,专,吉田,1,101
i_2157492c8387,田中,たなか,专,田中,1,101
i_98b87eff4ca8,中村,なかむら,专,中村,1,101
i_a5da306866b9,太郎,たろう,专,太郎,1,101
i_12f691b9ca21,金,キム,专,金,1,101
i_fe370501d503,デュポン,デュポン,专,迪蓬,1,101
i_bf122e34c03e,スミス,スミス,专,史密斯,1,101
i_6b08812acd0f,ジョンソン,ジョンソン,专,约翰逊,1,101
i_c322f0d5020e,中国,ちゅうごく,专,中国,1,101
i_689a723285c0,東京大学,とうきょうだいがく,专,东京大学,1,101
i_9e3c6c36bb02,北京大学,ペキンだいがく,专,北京大学,1,101
i_d5497070d429,JC企画,ジェーシーきかく,专,JC策划公司,1,101
i_c99cdd3119f9,北京旅行社,ペキンりょこうしゃ,专,北京旅行社,1,101
i_41865ac25864,日中商事,にっちゅうしょうじ,专,日中商社,1,101
i_5eb68c891334,こんにちは,こんにちは,熟语,你好,1,101
i_40aee3083355,すみません,すみません,熟语,对不起，请问,1,101
i_8dce1cd4292e,どうぞ,どうぞ,熟语,请,1,101
i_21e182a12d1e,よろしくお願いします,よろしくおねがいします,熟语,请多关照,1,101
i_485cb3c67e83,はじめまして,はじめまして,熟语,初次见面,1,101
i_70f650fccbf2,こちらこそ,こちらこそ,熟语,我才要（请您～）,1,101
i_33cbbdb20f90,そうです,そうです,熟语,是（这样）,1,101
i_0d4eb05757a0,ちがいます,ちがいます,熟语,不是,1,101
i_d6cb081f914e,分かりません,わかりません,熟语,不知道,1,101
i_f5ab30bbcec5,どうもすみません,どうもすみません,熟语,实在对不起,1,101
i_e6f223ed7a13,本,ほん,名,书,1,102
i_546b9bbb0863,かばん,かばん,名,包，公文包,1,102
i_0b26ec98cced,ノート,ノート,名,笔记本，本子,1,102
i_56eb07108324,鉛筆,えんぴつ,名,铅笔,1,102
i_fec25eb011b1,傘,かさ,名,伞,1,102
i_bd18dddba147,靴,くつ,名,鞋,1,102
i_962376ca1036,新聞,しんぶん,名,报纸,1,102
i_dfb0101be7a3,雑誌,ざっし,名,杂志,1,102
i_8db4b7f4e15c,辞書,じしょ,名,词典,1,102
i_c0dc72a5ef96,カメラ,カメラ,名,照相机,1,102
i_1341b5e16566,テレビ,テレビ,名,电视机(television),1,102
i_63452fd0f303,パソコン,パソコン,名,个人电脑(personal computer),1,102
i_57724ada8baa,ラジオ,ラジオ,名,收音机(radio),1,102
i_634fbb2a0379,電話,でんわ,名,电话,1,102
i_ac5cb8ff2dfd,机,つくえ,名,桌子，书桌,1,102
i_167311d15015,いす,いす,名,椅子,1,102
i_f2a9d896ed6a,かぎ,かぎ,名,钥匙，锁,1,102
i_e5a11f47926b,時計,とけい,名,钟，表,1,102
i_b8840b1c4db6,手帳,てちょう,名,记事本,1,102
i_65849b220a23,写真,しゃしん,名,照片,1,102
i_6e992ece7c88,車,くるま,名,车,1,102
i_30b46b93a9e9,自転車,じてんしゃ,名,自行车,1,102
i_194486b6f710,お土産,おみやげ,名,礼物,1,102
i_1a0b74cab1e1,名産品,めいさんひん,名,特产，名产,1,102
i_7e7a22f735f9,シルク,シルク,名,丝绸(silk),1,102
i_194b75dc6fc9,ハンカチ,ハンカチ,名,手绢(handkerchief),1,102
i_3f9ede6e4a14,会社,かいしゃ,名,公司,1,102
i_1219f0bf21b2,方,かた,名,（敬称）位，人,1,102
i_cb83efcb4448,人,ひと,名,人,1,102
i_7c00de0bad5e,家族,かぞく,名,家人，家属,1,102
i_30b32074409d,母,はは,名,（我）母亲,1,102
i_cba33e9c99ab,お母さん,おかあさん,名,母亲,1,102
i_f4f1a7b8f7ea,日本語,にほんご,名,日语,1,102
i_a9d568ab7591,中国語,ちゅうごくご,名,汉语，中文,1,102
i_d98b2ba0f85b,これ,これ,代,这，这个,1,102
i_5ed1f230567d,それ,それ,代,那，那个,1,102
i_408412defec8,あれ,あれ,代,那，那个,1,102
i_d283ae29261e,どれ,どれ,疑,哪个,1,102
i_2a2710e8369a,何,なん,疑,什么,1,102
i_56348cd2185e,だれ,だれ,疑,谁,1,102
i_4fc51da29b71,どなた,どなた,疑,哪位,1,102
i_4a78e20489fb,この,この,连,这，这个,1,102
i_153db22ee7ca,その,その,连,那，那个,1,102
i_5d5dd909fe4e,あの,あの,连,那，那个,1,102
i_71ac6c65d834,どの,どの,连,哪个,1,102
i_4e37adf16db5,えっ,えっ,叹,啊,1,102
i_5d9d2deed823,わあ,わあ,叹,哇,1,102
