textId,index,content
i_eed737e31309,232,あのう，{今日|きょう}はもう{退社|たいしゃ}しても{宜|よろ}しいでしょうか。
i_ffa456ed32af,232,ええ，{仕|し}{事|ごと}も{落|お}ち{着|つ}いてきたし，{大丈夫|だいじょうぶ}よ。
i_7b3b1f4a8cb7,232,{有|あり}{難|がと}うございます。お{先|さき}に{失礼|しつれい}します。
i_173cc5debe8f,232,{中井|なかい}さん，{悪|わる}いんだけど，{私|わたし}もお{先|さき}に{失礼|しつれい}してもいいかしら。
i_0825b4dca348,232,あっ，はい。
i_0b45adfad04f,232,じゃあ，お{先|さき}に{失礼|しつれい}します。
i_f0e1315ab965,232,[お{疲|つか}れ{様|さま}です‖i_477ee21f13e2]。{李|り}さんがこんなに{早|はや}く{帰|かえ}るなんて，{珍|めずら}しいな…。
i_a18ebd33fc99,232,{隣|となり}に{座|すわ}ってもかまいませんか。
i_a9820865009c,232,えっ！{佐|さ}{藤|とう}さん？どうしたんですか。どうしてここにいるんですか。
i_ab461eca793e,232,{今日|きょう}の{飛|ひ}{行|こう}{機|き}で{戻|もど}りました。{会社|かいしゃ}に{電|でん}{話|わ}したら，{李|り}さんは{帰|かえ}ったと{言|い}われたので。
i_562fb887f505,232,でも，どうしてここが…？
i_e912a82616f2,232,いつか{言|い}っていたでしょう。ここは{李|り}さんの{好|す}きな{場|ば}{所|しょ}で，よく{来|く}るって。
i_85ad542016b5,232,{覚|おぼ}えていてくれたんですか，そんなことを。
i_97b83e0e1e24,232,{李|り}さんとの{思|おも}い{出|で}を{忘|わす}れるわけがありません。この{公園|こうえん}で{僕|ぼく}を{励|はげ}ましてくれたこと，{香港|ほんこん}の{夜|や}{景|けい}を{眺|なが}めたこと…。{李|り}さんは，{僕|ぼく}にとってずっと{頼|たの}りがいのある{仕|し}{事|ごと}{仲間|なかま}でした。そして，{今|いま}，{僕|ぼく}にとって{一番|いちばん}{大切|たいせつ}な{人|ひと}だ。あなたが{倒|たお}れたあの{時|とき}，はっきり{分|わ}かったんです。
i_9c6fb42db90f,232,…{佐|さ}{藤|とう}さんが{日|に}{本|ほん}には{発|た}ってから，{私|わたし}も{毎日|まいにち}あなたのことが{気|き}になって[{仕方|しかた}‖i_80fc4f842462]がありませんでした。{本|ほん}{当|とう}に{仕|し}{事|ごと}どころじゃなくて…。
i_f5bd826c0114,232,{大阪|おおさか}で，{僕|ぼく}なりに{考|かんが}えました。{僕|ぼく}たちの{思|おも}い{出|で}はまだ{一年分|いちねんぶん}でしかない。{僕|ぼく}は{李|り}さんと，この{上|シャン}{海|ハイ}でもっとたくさんの{思|おも}い{出|で}を{作|つく}って{生|い}きたいんです。これからもあなたの{隣|となり}にいてもいいですか。
i_f4ae40f0d01a,232,[トキ‖i_1abea1ba7dee]は{国際的|こくさいてき}に[{絶滅|ぜつめつ}‖i_8b64ca4b90ce]に[{危機|きき}‖i_a199b1866746]に{直面|ちょくめん}している{鳥|とり}である。もともとはロシア{東部|とうぶ}、{中|ちゅう}{国|ごく}{東北部|とうほくぶ}から{中部|ちゅうぶ}、[{朝鮮半島|ちょうせんはんとう}‖i_25734d5f2118]、{日|に}{本|ほん}など[{東|ひがし}アジア‖i_799fc1f45d42]{一帯|いったい}に{広|ひろ}く{分布|ぶんぷ}していた。しかし，{乱獲|らんかく}と{環|かん}{境|きょう}の{悪化|あっか}によって{各|かく}{地|ち}で{減少|げんしょう}し，{現在|げんざい}では，{絶滅|ぜつめつ}する{恐|おそ}れのある{動物|どうぶつ}として{絶滅危惧種|ぜつめつきぐしゅ}に{登|とう}{録|ろく}されている。
i_69c8f1e7851c,232,{現在|げんざい}，{世界中|せかいじゅう}で[{野生|やせい}‖i_60014db13a51]の[トキ‖i_1abea1ba7dee]が{生息|せいそく}しているのは{中|ちゅう}{国|ごく}のみで，[{陝西省|せんせいしょう}‖i_d6c8f68efb64]{西安市|せいあんし}の{南|みなみ}に{位置|いち}する{洋県|ようけん}にトキの{生息地|せいそくち}がある。{中|ちゅう}{国|ごく}でも{一時期|いちじき}トキは{絶滅|ぜつめつ}したと{考|かんが}えられていたが，1981年に7{羽|わ}が{発見|はっけん}された。その{後|ご}，{営巣地|えいそうち}の{監視|かんし}・{保護|ほご}、{人|じん}ロ{繁殖|はんしょく}などに{取|と}り{組|く}み，{現在|げんざい}では1000{羽|わ}{以|い}{上|じょう}が{確認|かくにん}されるに{至|いた}っている。{洋県|ようけん}の「{陝西|せんせい}トキ{救護|きゅうご}{飼養|しい}センター」では，{自然|しぜん}と{同|おな}じような{環|かん}{境|きょう}でトキを{飼育|しいく}するかたわら，パンフレットやビデオを{使|つか}って{小学生|しょうがくせい}{向|む}けのキャンペーンを{行|おこな}うなど，{国民|こくみん}に{対|たい}する{普|ふ}{及|きゅう}{啓発|けいはつ}を{行|おこな}っている。
i_9a12b54aabcd,232,[こうした‖i_4414bc63bddf]{中|ちゅう}{国|ごく}の[トキ‖i_1abea1ba7dee][{保護|ほご}‖i_b1e0d9596205]{活動|かつどう}に{対|たい}して{日|に}{本|ほん}が[{支援|しえん}‖i_dd2bf70396bd]をしていることは{余|あま}り{知|し}られていない。「[{中|ちゅう}{国|ごく}トキ{保護|ほご}{支援|しえん}{基金|ききん}‖i_1b75c43d8da0]」を{募|つの}ったり，「[{中|ちゅう}{国|ごく}トキ{保護|ほご}{観察|かんさつ}{団|だん}‖i_662b1f8a3bdc]」を{派遣|はけん}し，[{野生|やせい}‖i_60014db13a51]の[トキ‖i_1abea1ba7dee]の[{観察|かんさつ}‖i_a8cc049e635c]や[{保護|ほご}‖i_b1e0d9596205]{施設|しせつ}や{地元|じもと}{小学校|しょうがっこう}を{訪問|ほうもん}したりして，{交|こう}{流|りゅう}を{深|ふか}めている。
i_db3e8c8155ad,232,{一|いっ}{方|ぽう}、{日|に}{本|ほん}の[トキ‖i_1abea1ba7dee]は、{明治時代|めいじじだい}{以|い}{降|こう}{急激|きゅうげき}に{数|かず}が{減|へ}った。1981{年|ねん}には、その[{時点|じてん}‖i_dca45547a263]で[{野生|やせい}‖i_60014db13a51]に{残|のこ}っていた{最|さい}{後|ご}の5{羽|わ}を、{新潟県|にいがたけん}[{佐渡島|さどしま}‖i_9808e1ed0e41]の「[{佐渡|さど}トキ{保護|ほご}センター‖i_0053965cb8b2]」に[{保護|ほご}‖i_b1e0d9596205]し、{人工繁殖|じんこうはんしょく}を{試|こころ}みた。しかし、[{懸命|けんめい}‖i_2da89a27afb6]の{努|ど}{力|りょく}にもかかわらず、{人工繁殖|じんこうはんしょく}は{失|しっ}{敗|ぱい}に{終|お}わり、2003{年|ねん}を{持|も}って{日|に}{本|ほん}の[トキ‖i_1abea1ba7dee]は[{絶滅|ぜつめつ}‖i_8b64ca4b90ce]した。
i_35dc02a70a45,232,そのような{状況|じょうきょう}の{中|なか}で、{日|に}{本|ほん}に[{救|すく}い‖i_b3b8365b5387]の{手|て}を{差|さ}し{伸|の}べたのが{中|ちゅう}{国|ごく}だった。1998{年|ねん}、{中|ちゅう}{国|ごく}の[{江沢民|こうたくみん}‖i_8335dd7cbbaa]{主席|しゅせき}が{来日|らいにち}に{際|さい}して、2{羽|わ}の[トキ‖i_1abea1ba7dee]の[{贈呈|ぞうてい}‖i_f9f90248840b]を{約束|やくそく}した。{翌|よく}1999{年|ねん}、[{雄|おす}‖i_56662fc27203]の「[{友友|ゆうゆう}‖i_40d6e88dcb6f]」と[{雌|めす}‖i_3d4ee8e0a411]の「[{洋洋|ようよう}‖i_a064c0c12013]」が{日|に}{本|ほん}に{到着|とうちゃく}し、「[{佐渡|さど}トキ{保護|ほご}センター‖i_0053965cb8b2]」で{飼育|しいく}されることになった。それ{以|い}{来|らい}、この2{羽|わ}を{元|もと}に[トキ‖i_1abea1ba7dee]の{人工繁殖|じんこうはんしょく}が{行|おこな}われ、2007{年|ねん}{現在|げんざい}、107{羽|わ}が{飼育|しいく}されるに至っている。{繁殖|はんしょく}は{次々|つぎつぎ}と{成功|せいこう}し、{自然|しぜん}に{戻|もど}す{計画|けいかく}も{進|すす}んでいる。
