一段动词,平假名,释义,自他性,否定,丁寧,辞書,条件,意向,て,過去,過去否定,被动,使役,可能,命令
暴れる,あばれる,"to rage, to storm",-,暴れない,暴れます,暴れる,暴れれば,暴れよう,暴れて,暴れた,暴れなかった,暴れなれる,暴れさせる,暴れられる,暴れろ
浴びる,あびる,"to bathe, to take (a shower)",-,浴びない,浴びます,浴びる,浴びれば,浴びよう,浴びて,浴びた,浴びなかった,浴びなれる,浴びさせる,浴びられる,浴びろ
浴びせる,あびせる,to pour on,-,浴びせない,浴びせます,浴びせる,浴びせれば,浴びせよう,浴びせて,浴びせた,浴びせなかった,浴びせなれる,浴びせさせる,浴びせられる,浴びせろ
あふれる,あふれる,to overflow,-,あふれない,あふれます,あふれる,あふれれば,あふれよう,あふれて,あふれた,あふれなかった,あふれなれる,あふれさせる,あふれられる,あふれろ
上げる,あげる,"to raise, to lift",-,上げない,上げます,上げる,上げれば,上げよう,上げて,上げた,上げなかった,上げなれる,上げさせる,上げられる,上げろ
開ける,あける,to open,-,開けない,開けます,開ける,開ければ,開けよう,開けて,開けた,開けなかった,開けなれる,開けさせる,開けられる,開けろ
空ける,あける,to empty,-,空けない,空けます,空ける,空ければ,空けよう,空けて,空けた,空けなかった,空けなれる,空けさせる,空けられる,空けろ
明ける,あける,"to dawn, to day breaks",-,明けない,明けます,明ける,明ければ,明けよう,明けて,明けた,明けなかった,明けなれる,明けさせる,明けられる,明けろ
諦める,あきらめる,to give up,-,諦めない,諦めます,諦める,諦めれば,諦めよう,諦めて,諦めた,諦めなかった,諦めなれる,諦めさせる,諦められる,諦めろ
飽きる,あきる,to get tired of,-,飽きない,飽きます,飽きる,飽きれば,飽きよう,飽きて,飽きた,飽きなかった,飽きなれる,飽きさせる,飽きられる,飽きろ
現れる,あらわれる,to appear,-,現れない,現れます,現れる,現れれば,現れよう,現れて,現れた,現れなかった,現れなれる,現れさせる,現れられる,現れろ
暖める,あたためる,"to heat, to warm",-,暖めない,暖めます,暖める,暖めれば,暖めよう,暖めて,暖めた,暖めなかった,暖めなれる,暖めさせる,暖められる,暖めろ
当てる,あてる,"to hit, to strike",-,当てない,当てます,当てる,当てれば,当てよう,当てて,当てた,当てなかった,当てなれる,当てさせる,当てられる,当てろ
集める,あつめる,"to assemble, to collect",-,集めない,集めます,集める,集めれば,集めよう,集めて,集めた,集めなかった,集めなれる,集めさせる,集められる,集めろ
合わせる,あわせる,to combine,-,合わせない,合わせます,合わせる,合わせれば,合わせよう,合わせて,合わせた,合わせなかった,合わせなれる,合わせさせる,合わせられる,合わせろ
慌てる,あわてる,"to panic, to be in rush",-,慌てない,慌てます,慌てる,慌てれば,慌てよう,慌てて,慌てた,慌てなかった,慌てなれる,慌てさせる,慌てられる,慌てろ
預ける,あずける,to deposit,-,預けない,預けます,預ける,預ければ,預けよう,預けて,預けた,預けなかった,預けなれる,預けさせる,預けられる,預けろ
ぶつける,ぶつける,"to hit, to throw",-,ぶつけない,ぶつけます,ぶつける,ぶつければ,ぶつけよう,ぶつけて,ぶつけた,ぶつけなかった,ぶつけなれる,ぶつけさせる,ぶつけられる,ぶつけろ
縮める,ちじめる,"to shorten, to shrink",-,縮めない,縮めます,縮める,縮めれば,縮めよう,縮めて,縮めた,縮めなかった,縮めなれる,縮めさせる,縮められる,縮めろ
出かける,でかける,"to go out, to depart",-,出かけない,出かけます,出かける,出かければ,出かけよう,出かけて,出かけた,出かけなかった,出かけなれる,出かけさせる,出かけられる,出かけろ
出来る,できる,"to can, to be compleyed",-,出来ない,出来ます,出来る,出来れば,出来よう,出来て,出来た,出来なかった,出来なれる,出来させる,出来られる,出来ろ
出る,でる,"to leave, to come out",-,出ない,出ます,出る,出れば,出よう,出て,出た,出なかった,出なれる,出させる,出られる,出ろ
得る,える,"to get, to obtain",-,得ない,得ます,得る,得れば,得よう,得て,得た,得なかった,得なれる,得させる,得られる,得ろ
増える,ふえる,to increase,-,増えない,増えます,増える,増えれば,増えよう,増えて,増えた,増えなかった,増えなれる,増えさせる,増えられる,増えろ
含める,ふくめる,"to include, to contain",-,含めない,含めます,含める,含めれば,含めよう,含めて,含めた,含めなかった,含めなれる,含めさせる,含められる,含めろ
触れる,ふれる,to touch,-,触れない,触れます,触れる,触れれば,触れよう,触れて,触れた,触れなかった,触れなれる,触れさせる,触れられる,触れろ
ふざける,ふざける,"to joke, to play pranks",-,ふざけない,ふざけます,ふざける,ふざければ,ふざけよう,ふざけて,ふざけた,ふざけなかった,ふざけなれる,ふざけさせる,ふざけられる,ふざけろ
生える,はえる,"to grow, to sprout",-,生えない,生えます,生える,生えれば,生えよう,生えて,生えた,生えなかった,生えなれる,生えさせる,生えられる,生えろ
映える,はえる,"to shine, to glow",-,映えない,映えます,映える,映えれば,映えよう,映えて,映えた,映えなかった,映えなれる,映えさせる,映えられる,映えろ
始める,はじめる,"to start, to begin",-,始めない,始めます,始める,始めれば,始めよう,始めて,始めた,始めなかった,始めなれる,始めさせる,始められる,始めろ
はめる,はめる,to wear (a ring),-,はめない,はめます,はめる,はめれば,はめよう,はめて,はめた,はめなかった,はめなれる,はめさせる,はめられる,はめろ
離れる,はなれる,to be sparated,-,離れない,離れます,離れる,離れれば,離れよう,離れて,離れた,離れなかった,離れなれる,離れさせる,離れられる,離れろ
跳ねる,はねる,to jump,-,跳ねない,跳ねます,跳ねる,跳ねれば,跳ねよう,跳ねて,跳ねた,跳ねなかった,跳ねなれる,跳ねさせる,跳ねられる,跳ねろ
晴れる,はれる,to clear up,-,晴れない,晴れます,晴れる,晴れれば,晴れよう,晴れて,晴れた,晴れなかった,晴れなれる,晴れさせる,晴れられる,晴れろ
腫れる,はれる,to swell,-,腫れない,腫れます,腫れる,腫れれば,腫れよう,腫れて,腫れた,腫れなかった,腫れなれる,腫れさせる,腫れられる,腫れろ
外れる,はずれる,to miss,-,外れない,外れます,外れる,外れれば,外れよう,外れて,外れた,外れなかった,外れなれる,外れさせる,外れられる,外れろ
冷える,ひえる,"to get cold, to cool down",-,冷えない,冷えます,冷える,冷えれば,冷えよう,冷えて,冷えた,冷えなかった,冷えなれる,冷えさせる,冷えられる,冷えろ
引き受ける,ひきうける,"to undertake, to take charge",-,引き受けない,引き受けます,引き受ける,引き受ければ,引き受けよう,引き受けて,引き受けた,引き受けなかった,引き受けなれる,引き受けさせる,引き受けられる,引き受けろ
広げる,ひろげる,"to spread, to extend",-,広げない,広げます,広げる,広げれば,広げよう,広げて,広げた,広げなかった,広げなれる,広げさせる,広げられる,広げろ
吠える,ほえる,"to bark, to howl",-,吠えない,吠えます,吠える,吠えれば,吠えよう,吠えて,吠えた,吠えなかった,吠えなれる,吠えさせる,吠えられる,吠えろ
褒める,ほめる,to praise,-,褒めない,褒めます,褒める,褒めれば,褒めよう,褒めて,褒めた,褒めなかった,褒めなれる,褒めさせる,褒められる,褒めろ
虐める,いじめる,"to tease, to bully",-,虐めない,虐めます,虐める,虐めれば,虐めよう,虐めて,虐めた,虐めなかった,虐めなれる,虐めさせる,虐められる,虐めろ
生ける,いける,to arrange (flowers),-,生けない,生けます,生ける,生ければ,生けよう,生けて,生けた,生けなかった,生けなれる,生けさせる,生けられる,生けろ
生きる,いきる,to live,-,生きない,生きます,生きる,生きれば,生きよう,生きて,生きた,生きなかった,生きなれる,生きさせる,生きられる,生きろ
入れる,いれる,"to put in, to include",-,入れない,入れます,入れる,入れれば,入れよう,入れて,入れた,入れなかった,入れなれる,入れさせる,入れられる,入れろ
