不规则动词,平假名,释义,自他性,否定,丁寧,辞書,条件,意向,て,過去,過去否定,被动,使役,可能,命令
来る,くる,to come,-,こない,きまる,くる,くれば,こよう,来て,来た,こんなかった,こられる,こさせる,こられる,こい
持って来る,もってくる,to bring (a thing),-,持ってこない,持ってきまる,持ってくる,持ってくれば,持ってこよう,持って来て,持って来た,持ってこんなかった,持ってこられる,持ってこさせる,持ってこられる,持ってこい
連れてくる,つれてくる,to bring (a person),-,連れてこない,連れてきまる,連れてくる,連れてくれば,連れてこよう,連れて来て,連れて来た,連れてこんなかった,連れてこられる,連れてこさせる,連れてこられる,連れてこい
する,する,"to do, to play",-,しない,します,する,すれば,しよう,して,した,しなかった,される,させる,できる,しろ
アドバイスする,アドバイスする,to advise,-,アドバイスしない,アドバイスします,アドバイスする,アドバイスすれば,アドバイスしよう,アドバイスして,アドバイスした,アドバイスしなかった,アドバイスされる,アドバイスさせる,アドバイスできる,アドバイスしろ
あいさつする,あいさつする,to greet,-,あいさつしない,あいさつします,あいさつする,あいさつすれば,あいさつしよう,あいさつして,あいさつした,あいさつしなかった,あいさつされる,あいさつさせる,あいさつできる,あいさつしろ
握手する,あくしゅする,to shake hands,-,握手しない,握手します,握手する,握手すれば,握手しよう,握手して,握手した,握手しなかった,握手される,握手させる,握手できる,握手しろ
悪用する,あくようする,"to misuse, to abuse",-,悪用しない,悪用します,悪用する,悪用すれば,悪用しよう,悪用して,悪用した,悪用しなかった,悪用される,悪用させる,悪用できる,悪用しろ
アナウンサーする,アナウンサーする,to announce,-,アナウンサーしない,アナウンサーします,アナウンサーする,アナウンサーすれば,アナウンサーしよう,アナウンサーして,アナウンサーした,アナウンサーしなかった,アナウンサーされる,アナウンサーさせる,アナウンサーできる,アナウンサーしろ
暗記する,あんきする,"to memorize, to learn by heart",-,暗記しない,暗記します,暗記する,暗記すれば,暗記しよう,暗記して,暗記した,暗記しなかった,暗記される,暗記させる,暗記できる,暗記しろ
案内する,あんないする,to guide,-,案内しない,案内します,案内する,案内すれば,案内しよう,案内して,案内した,案内しなかった,案内される,案内させる,案内できる,案内しろ
安心する,あんしんする,to feet at ease,-,安心しない,安心します,安心する,安心すれば,安心しよう,安心して,安心した,安心しなかった,安心される,安心させる,安心できる,安心しろ
安定する,あんていする,to become stable,-,安定しない,安定します,安定する,安定すれば,安定しよう,安定して,安定した,安定しなかった,安定される,安定させる,安定できる,安定しろ
アピールする,アピールする,to appeal,-,アピールしない,アピールします,アピールする,アピールすれば,アピールしよう,アピールして,アピールした,アピールしなかった,アピールされる,アピールさせる,アピールできる,アピールしろ
アタックする,アタックする,to attack,-,アタックしない,アタックします,アタックする,アタックすれば,アタックしよう,アタックして,アタックした,アタックしなかった,アタックされる,アタックさせる,アタックできる,アタックしろ
爆発する,ばくはつする,to explode,-,爆発しない,爆発します,爆発する,爆発すれば,爆発しよう,爆発して,爆発した,爆発しなかった,爆発される,爆発させる,爆発できる,爆発しろ
弁護する,べんごする,to defend,-,弁護しない,弁護します,弁護する,弁護すれば,弁護しよう,弁護して,弁護した,弁護しなかった,弁護される,弁護させる,弁護できる,弁護しろ
勉強する,べんきょうする,to study,-,勉強しない,勉強します,勉強する,勉強すれば,勉強しよう,勉強して,勉強した,勉強しなかった,勉強される,勉強させる,勉強できる,勉強しろ
妨害する,ぼうがいする,"to interrupt, to obstruct",-,妨害しない,妨害します,妨害する,妨害すれば,妨害しよう,妨害して,妨害した,妨害しなかった,妨害される,妨害させる,妨害できる,妨害しろ
防止する,ぼうしする,to prevent,-,防止しない,防止します,防止する,防止すれば,防止しよう,防止して,防止した,防止しなかった,防止される,防止させる,防止できる,防止しろ
募集する,ぼうしゅうする,to recruit,-,募集しない,募集します,募集する,募集すれば,募集しよう,募集して,募集した,募集しなかった,募集される,募集させる,募集できる,募集しろ
分析する,ぶんせきする,to analyze,-,分析しない,分析します,分析する,分析すれば,分析しよう,分析して,分析した,分析しなかった,分析される,分析させる,分析できる,分析しろ
チャレンジする,チャレンジする,to challenge,-,チャレンジしない,チャレンジします,チャレンジする,チャレンジすれば,チャレンジしよう,チャレンジして,チャレンジした,チャレンジしなかった,チャレンジされる,チャレンジさせる,チャレンジできる,チャレンジしろ
チェンジする,チェンジする,to check,-,チェンジしない,チェンジします,チェンジする,チェンジすれば,チェンジしよう,チェンジして,チェンジした,チェンジしなかった,チェンジされる,チェンジさせる,チェンジできる,チェンジしろ
遅刻する,ちこくする,to be late (for school),-,遅刻しない,遅刻します,遅刻する,遅刻すれば,遅刻しよう,遅刻して,遅刻した,遅刻しなかった,遅刻される,遅刻させる,遅刻できる,遅刻しろ
陳列する,ちんれつする,to display,-,陳列しない,陳列します,陳列する,陳列すれば,陳列しよう,陳列して,陳列した,陳列しなかった,陳列される,陳列させる,陳列できる,陳列しろ
貯金する,ちょきんする,"to depost, to save money",-,貯金しない,貯金します,貯金する,貯金すれば,貯金しよう,貯金して,貯金した,貯金しなかった,貯金される,貯金させる,貯金できる,貯金しろ
調査する,ちょうさする,to investigate,-,調査しない,調査します,調査する,調査すれば,調査しよう,調査して,調査した,調査しなかった,調査される,調査させる,調査できる,調査しろ
注意する,ちゅういする,"to pay attention, to warn",-,注意しない,注意します,注意する,注意すれば,注意しよう,注意して,注意した,注意しなかった,注意される,注意させる,注意できる,注意しろ
忠告する,ちゅうこくする,to advise,-,忠告しない,忠告します,忠告する,忠告すれば,忠告しよう,忠告して,忠告した,忠告しなかった,忠告される,忠告させる,忠告できる,忠告しろ
注文する,ちゅうもんする,to order (goods),-,注文しない,注文します,注文する,注文すれば,注文しよう,注文して,注文した,注文しなかった,注文される,注文させる,注文できる,注文しろ
中止する,ちゅうしする,to cancel,-,中止しない,中止します,中止する,中止すれば,中止しよう,中止して,中止した,中止しなかった,中止される,中止させる,中止できる,中止しろ
代表する,だいひょうする,to represent,-,代表しない,代表します,代表する,代表すれば,代表しよう,代表して,代表した,代表しなかった,代表される,代表させる,代表できる,代表しろ
妥協する,だきょうする,to compromise,-,妥協しない,妥協します,妥協する,妥協すれば,妥協しよう,妥協して,妥協した,妥協しなかった,妥協される,妥協させる,妥協できる,妥協しろ
ダンスする,ダンスする,to dance,-,ダンスしない,ダンスします,ダンスする,ダンスすれば,ダンスしよう,ダンスして,ダンスした,ダンスしなかった,ダンスされる,ダンスさせる,ダンスできる,ダンスしろ
デビューする,デビューする,to make one's debut,-,デビューしない,デビューします,デビューする,デビューすれば,デビューしよう,デビューして,デビューした,デビューしなかった,デビューされる,デビューさせる,デビューできる,デビューしろ
電話する,でんわする,"to call, to phone",-,電話しない,電話します,電話する,電話すれば,電話しよう,電話して,電話した,電話しなかった,電話される,電話させる,電話できる,電話しろ
デートする,デートする,to date,-,デートしない,デートします,デートする,デートすれば,デートしよう,デートして,デートした,デートしなかった,デートされる,デートさせる,デートできる,デートしろ
ディスプレーする,ディスプレーする,to display,-,ディスプレーしない,ディスプレーします,ディスプレーする,ディスプレーすれば,ディスプレーしよう,ディスプレーして,ディスプレーした,ディスプレーしなかった,ディスプレーされる,ディスプレーさせる,ディスプレーできる,ディスプレーしろ
