idx,word,kana,pos,desc,group,lesson
1,中国人,ちゅうごくじん,名,中国人,1,101
2,日本人,にほんじん,名,日本人,1,101
3,韓国人,かんこくじん,名,韩国人,1,101
4,アメリカ人,アメリカじん,名,美国人,1,101
5,フランス人,フランスじん,名,法国人,1,101
6,学生,がくせい,名,(大)学生,1,101
7,先生,せんせい,名,老师,1,101
8,留学生,りゅうがくせい,名,留学生,1,101
9,教授,きょうじゅ,名,教授,1,101
10,社員,しゃいん,名,职员,1,101
11,会社員,かいしゃいん,名,公司职员,1,101
12,店員,てんいん,名,店员,1,101
13,研修生,けんしゅうせい,名,进修生,1,101
14,企業,きぎょう,名,企业,1,101
15,大学,だいがく,名,大学,1,101
16,父,ちち,名,(我)父亲,1,101
17,課長,かちょう,名,科长,1,101
18,社長,しゃちょう,名,总经理，社长,1,101
19,出迎え,でむかえ,名,迎接,1,101
20,あの人,あのひと,名,那个人,1,101
21,わたし,わたし,代,我,1,101
22,あなた,あなた,代,你,1,101
23,どうも,どうも,副,非常，很,1,101
24,はい,はい,叹,哎，是(应答)；是的,1,101
25,いいえ,いいえ,叹,不，不是,1,101
26,あっ,あっ,叹,哎，哎呀,1,101
27,李,り,专,李,1,101
28,王,おう,专,王,1,101
29,張,ちょう,专,张,1,101
30,森,もり,专,森,1,101
31,林,はやし,专,林,1,101
32,小野,おの,专,小野,1,101
33,吉田,よしだ,专,吉田,1,101
34,田中,たなか,专,田中,1,101
35,中村,なかむら,专,中村,1,101
36,太郎,たろう,专,太郎,1,101
37,金,キム,专,金,1,101
38,デュポン,デュポン,专,迪蓬,1,101
39,スミス,スミス,专,史密斯,1,101
40,ジョンソン,ジョンソン,专,约翰逊,1,101
41,中国,ちゅうごく,专,中国,1,101
42,東京大学,とうきょうだいがく,专,东京大学,1,101
43,北京大学,ペキンだいがく,专,北京大学,1,101
44,JC企画,ジェーシーきかく,专,JC策划公司,1,101
45,北京旅行社,ペキンりょこうしゃ,专,北京旅行社,1,101
46,日中商事,にっちゅうしょうじ,专,日中商社,1,101
47,こんにちは,こんにちは,熟语,你好,1,101
48,すみません,すみません,熟语,对不起，请问,1,101
49,どうぞ,どうぞ,熟语,请,1,101
50,よろしくお願いします,よろしくおねがいします,熟语,请多关照,1,101
51,はじめまして,はじめまして,熟语,初次见面,1,101
52,こちらこそ,こちらこそ,熟语,我才要（请您～）,1,101
53,そうです,そうです,熟语,是（这样）,1,101
54,ちがいます,ちがいます,熟语,不是,1,101
55,分かりません,わかりません,熟语,不知道,1,101
56,どうもすみません,どうもすみません,熟语,实在对不起,1,101
57,本,ほん,名,书,1,102
58,かばん,かばん,名,包，公文包,1,102
59,ノート,ノート,名,笔记本，本子,1,102
60,鉛筆,えんぴつ,名,铅笔,1,102
61,傘,かさ,名,伞,1,102
62,靴,くつ,名,鞋,1,102
63,新聞,しんぶん,名,报纸,1,102
64,雑誌,ざっし,名,杂志,1,102
65,辞書,じしょ,名,词典,1,102
66,カメラ,カメラ,名,照相机,1,102
67,テレビ,テレビ,名,电视机,1,102
68,パソコン,パソコン,名,个人电脑,1,102
69,ラジオ,ラジオ,名,收音机,1,102
70,電話,でんわ,名,电话,1,102
71,机,つくえ,名,桌子，书桌,1,102
72,いす,いす,名,椅子,1,102
73,かぎ,かぎ,名,钥匙，锁,1,102
74,時計,とけい,名,钟，表,1,102
75,手帳,てちょう,名,记事本,1,102
76,写真,しゃしん,名,照片,1,102
77,車,くるま,名,车,1,102
78,自転車,じてんしゃ,名,自行车,1,102
79,お土産,おみやげ,名,礼物,1,102
80,名産品,めいさんひん,名,特产，名产,1,102
81,シルク,シルク,名,丝绸,1,102
82,ハンカチ,ハンカチ,名,手绢,1,102
83,会社,かいしゃ,名,公司,1,102
84,方,かた,名,（敬称）位，人,1,102
85,人,ひと,名,人,1,102
86,家族,かぞく,名,家人，家属,1,102
87,母,はは,名,（我）母亲,1,102
88,お母さん,おかあさん,名,母亲,1,102
89,日本語,にほんご,名,日语,1,102
90,中国語,ちゅうごくご,名,汉语，中文,1,102
91,これ,これ,代,这，这个,1,102
92,それ,それ,代,那，那个,1,102
93,あれ,あれ,代,那，那个,1,102
94,どれ,どれ,疑,哪个,1,102
95,何,なん,疑,什么,1,102
96,だれ,だれ,疑,谁,1,102
97,どなた,どなた,疑,哪位,1,102
98,この,この,连,这，这个,1,102
99,その,その,连,那，那个,1,102
100,あの,あの,连,那，那个,1,102
101,どの,どの,连,哪个,1,102
102,えっ,えっ,叹,啊,1,102
103,わあ,わあ,叹,哇,1,102
104,ええ,ええ,叹,（应答）嗯，是,1,102
105,長島,ながしま,专,长岛,1,102
106,日本,にほん,专,日本,1,102
107,スワトウ,スワトウ,专,汕头,1,102
108,ロンドン,ロンドン,专,伦敦,1,102
109,ありがとうございます,ありがとうございます,熟语,谢谢,1,102
110,おいくつ,おいくつ,熟语,多大,1,102
111,デパート,デパート,名,百货商店,1,103
112,食堂,しょくどう,名,食堂,1,103
113,郵便局,ゆうびんきょく,名,邮局,1,103
114,銀行,ぎんこう,名,银行,1,103
115,図書館,としょかん,名,图书馆,1,103
116,マンション,マンション,名,（高级）公寓,1,103
117,ホテル,ホテル,名,宾馆,1,103
118,コンビニ,コンビニ,名,便利店,1,103
119,喫茶店,きっさてん,名,咖啡馆,1,103
120,病院,びょういん,名,医院,1,103
121,本屋,ほんや,名,书店,1,103
122,レストラン,レストラン,名,餐馆，西餐馆,1,103
123,ビル,ビル,名,大楼，大厦,1,103
124,建物,たてもの,名,大楼，建筑物,1,103
125,売り場,うりば,名,柜台，出售处,1,103
126,トイレ,トイレ,名,厕所，盥洗室,1,103
127,入り口,いりぐち,名,入口,1,103
128,事務所,じむしょ,名,事务所，办事处,1,103
129,受付,うけつけ,名,接待处,1,103
130,バーゲン会場,バーゲンかいじょう,名,降价处理大卖场,1,103
131,エスカレーター,エスカレーター,名,自动扶梯,1,103
132,服,ふく,名,衣服,1,103
133,コート,コート,名,风衣，大衣,1,103
134,デジカメ,デジカメ,名,数码相机,1,103
135,国,くに,名,国，国家,1,103
136,地図,ちず,名,地图,1,103
137,隣,となり,名,旁边,1,103
138,周辺,しゅうへん,名,附近，周边,1,103
139,今日,きょう,名,今天,1,103
140,水曜日,すいようび,名,星期三,1,103
141,木曜日,もくようび,名,星期四,1,103
142,ここ,ここ,代,这里，这儿,1,103
143,そこ,そこ,代,那里，那儿,1,103
144,あそこ,あそこ,代,那里，那儿,1,103
145,こちら,こちら,代,这儿，这边,1,103
146,そちら,そちら,代,那儿，那边,1,103
147,あちら,あちら,代,那儿，那边,1,103
148,どこ,どこ,疑,哪里，哪儿,1,103
149,どちら,どちら,疑,哪儿，哪边,1,103
150,あのう,あのう,叹,请问，对不起,1,103
151,上海,シャンハイ,专,上海,1,103
152,東京,とうきょう,专,东京,1,103
153,いくら,いくら,熟语,多少钱,1,103
154,部屋,へや,名,房间，屋子,1,104
155,庭,にわ,名,院子,1,104
156,家,いえ,名,家,1,104
157,居間,いま,名,起居室,1,104
158,冷蔵庫,れいぞうこ,名,冰箱,1,104
159,壁,かべ,名,墙壁,1,104
160,スイッチ,スイッチ,名,开关,1,104
161,本棚,ほんだな,名,书架,1,104
162,ベッド,ベッド,名,床,1,104
163,猫,ねこ,名,猫,1,104
164,犬,いぬ,名,狗,1,104
165,箱,はこ,名,盒子，箱子,1,104
166,眼鏡,めがね,名,眼镜,1,104
167,ビデオ,ビデオ,名,录像机,1,104
168,サッカーボール,サッカーボール,名,足球,1,104
169,ビール,ビール,名,啤酒,1,104
170,ウイスキー,ウイスキー,名,威士忌,1,104
171,子供,こども,名,孩子，小孩,1,104
172,兄弟,きょうだい,名,兄弟姐妹,1,104
173,両親,りょうしん,名,父母，双亲,1,104
174,妹,いもうと,名,妹妹,1,104
175,男,おとこ,名,男,1,104
176,女,おんな,名,女,1,104
177,生徒,せいと,名,学生,1,104
178,上,うえ,名,上面,1,104
179,外,そと,名,外面,1,104
180,中,なか,名,里面，内部，中间,1,104
181,下,した,名,下面,1,104
182,前,まえ,名,前，前面,1,104
183,後ろ,うしろ,名,后，后面,1,104
184,近く,ちかく,名,附近，近旁,1,104
185,場所,ばしょ,名,所在地，地方，场所,1,104
186,教室,きょうしつ,名,教室,1,104
187,会議室,かいぎしつ,名,会议室,1,104
188,図書室,としょしつ,名,图书室,1,104
189,公園,こうえん,名,公园,1,104
190,花屋,はなや,名,花店,1,104
191,売店,ばいてん,名,小卖部，售货亭,1,104
192,駅,えき,名,车站,1,104
193,地下鉄,ちかてつ,名,地铁,1,104
194,木,き,名,树，树木,1,104
195,一人暮らし,ひとりぐらし,名,单身生活,1,104
196,あります,あります,动1,【自】有，在（非意志者）,1,104
197,います,います,动2,【自】有，在（具意志者）,1,104
198,ええと,ええと,叹,啊，嗯,1,104
199,横浜,よこはま,专,横滨,1,104
200,名古屋,なごや,专,名古屋,1,104
201,大阪,おおさか,专,大阪,1,104
202,JR,ジェーアール,专,JR,1,104
203,今,いま,名,现在,1,105
204,先週,せんしゅう,名,上个星期,1,105
205,来週,らいしゅう,名,下个星期,1,105
206,さ来週,さらいしゅう,名,下下个星期,1,105
207,今週,こんしゅう,名,这个星期,1,105
208,昨日,きのう,名,昨天,1,105
209,明日,あした,名,明天,1,105
210,あさって,あさって,名,后天,1,105
211,おととい,おととい,名,前天,1,105
212,毎日,まいにち,名,每天，每日,1,105
213,毎朝,まいあさ,名,每天早晨,1,105
214,毎晩,まいばん,名,每天晚上,1,105
215,毎週,まいしゅう,名,每个星期,1,105
216,午前,ごぜん,名,上午,1,105
217,am,エーエム,名,上午,1,105
218,午後,ごご,名,下午,1,105
